,Close_target
2021-08-07,110.27
2021-08-08,110.28
2021-08-09,110.56
2021-08-10,110.4
2021-08-11,110.38
2021-08-12,109.57
2021-08-13,109.45666666666666
2021-08-14,109.34333333333333
2021-08-15,109.23
2021-08-16,109.57
2021-08-17,109.74
2021-08-18,109.72
2021-08-19,109.8
2021-08-20,109.76
2021-08-21,109.72
2021-08-22,109.68
2021-08-23,109.62
2021-08-24,109.99
2021-08-25,110.07
2021-08-26,109.82
2021-08-27,109.85333333333332
2021-08-28,109.88666666666667
2021-08-29,109.92
2021-08-30,110.02
2021-08-31,109.99
2021-09-01,109.92
2021-09-02,109.73
2021-09-03,109.76333333333334
2021-09-04,109.79666666666667
2021-09-05,109.83
2021-09-06,110.27
2021-09-07,110.23
2021-09-08,109.7
2021-09-09,109.93
2021-09-10,109.94666666666667
2021-09-11,109.96333333333334
2021-09-12,109.98
2021-09-13,109.67
2021-09-14,109.36
2021-09-15,109.7
2021-09-16,109.96
2021-09-17,109.77
2021-09-18,109.58
2021-09-19,109.39
2021-09-20,109.21
2021-09-21,109.78
2021-09-22,110.3
2021-09-23,110.72
2021-09-24,110.81333333333333
2021-09-25,110.90666666666667
2021-09-26,111.0
2021-09-27,111.5
2021-09-28,111.96
2021-09-29,111.27
2021-09-30,111.05
2021-10-01,110.99
2021-10-02,110.93
2021-10-03,110.87
2021-10-04,111.45
2021-10-05,111.41
2021-10-06,111.59
2021-10-07,112.22
2021-10-08,112.58
2021-10-09,112.94
2021-10-10,113.3
2021-10-11,113.6
2021-10-12,113.23
2021-10-13,113.66
2021-10-14,114.2
2021-10-15,114.23666666666666
2021-10-16,114.27333333333334
2021-10-17,114.31
2021-10-18,114.36
2021-10-19,114.26
2021-10-20,113.97
2021-10-21,113.46
2021-10-22,113.53999999999999
2021-10-23,113.62
2021-10-24,113.7
2021-10-25,114.14
2021-10-26,113.81
2021-10-27,113.56
2021-10-28,114.0
2021-10-29,113.99333333333334
2021-10-30,113.98666666666666
2021-10-31,113.98
2021-11-01,113.95
2021-11-02,113.98
2021-11-03,113.75
2021-11-04,113.4
2021-11-05,113.34
2021-11-06,113.28
2021-11-07,113.22
2021-11-08,112.85
2021-11-09,113.9
2021-11-10,114.05
2021-11-11,113.85
2021-11-12,113.94
2021-11-13,114.03
2021-11-14,114.12
2021-11-15,114.82
2021-11-16,114.07
2021-11-17,114.24
2021-11-18,113.98
2021-11-19,114.27333333333334
2021-11-20,114.56666666666666
2021-11-21,114.86
2021-11-22,115.12
2021-11-23,115.41
2021-11-24,115.35
2021-11-25,113.31
2021-11-26,113.38
2021-11-27,113.45
2021-11-28,113.52
2021-11-29,113.13
2021-11-30,112.75
2021-12-01,113.15
2021-12-02,112.8
2021-12-03,113.02
2021-12-04,113.24
2021-12-05,113.46
2021-12-06,113.57
2021-12-07,113.66
2021-12-08,113.44
2021-12-09,113.38
2021-12-10,113.44
2021-12-11,113.5
2021-12-12,113.56
2021-12-13,113.71
2021-12-14,114.02
2021-12-15,113.7
2021-12-16,113.67
2021-12-17,113.64
2021-12-18,113.61
2021-12-19,113.58
2021-12-20,114.08
2021-12-21,114.11
2021-12-22,114.37
2021-12-23,114.41
2021-12-24,114.55
2021-12-25,114.69
2021-12-26,114.83
2021-12-27,114.81
2021-12-28,114.94
2021-12-29,115.06
2021-12-30,115.08
