,Close_target
2021-05-09,1.412
2021-05-10,1.4141
2021-05-11,1.4052
2021-05-12,1.405
2021-05-13,1.4096
2021-05-14,1.4108666666666667
2021-05-15,1.4121333333333332
2021-05-16,1.4134
2021-05-17,1.4187
2021-05-18,1.4113
2021-05-19,1.4189
2021-05-20,1.4147
2021-05-21,1.4149666666666667
2021-05-22,1.4152333333333333
2021-05-23,1.4155
2021-05-24,1.4151
2021-05-25,1.4118
2021-05-26,1.4205
2021-05-27,1.4187
2021-05-28,1.4194333333333333
2021-05-29,1.4201666666666668
2021-05-30,1.4209
2021-05-31,1.4146
2021-06-01,1.4168
2021-06-02,1.4103
2021-06-03,1.4154
2021-06-04,1.4162
2021-06-05,1.417
2021-06-06,1.4178
2021-06-07,1.4155
2021-06-08,1.4118
2021-06-09,1.4173
2021-06-10,1.4106
2021-06-11,1.4108
2021-06-12,1.411
2021-06-13,1.4112
2021-06-14,1.408
2021-06-15,1.3987
2021-06-16,1.3919
2021-06-17,1.3809
2021-06-18,1.3849
2021-06-19,1.3889
2021-06-20,1.3929
2021-06-21,1.3947
2021-06-22,1.3959
2021-06-23,1.3922
2021-06-24,1.3877
2021-06-25,1.3879
2021-06-26,1.3881000000000001
2021-06-27,1.3883
2021-06-28,1.3835
2021-06-29,1.3827
2021-06-30,1.3767
2021-07-01,1.3821
2021-07-02,1.3829
2021-07-03,1.3837000000000002
2021-07-04,1.3845
2021-07-05,1.3799
2021-07-06,1.38
2021-07-07,1.3785
2021-07-08,1.3899
2021-07-09,1.3892666666666666
2021-07-10,1.3886333333333332
2021-07-11,1.388
2021-07-12,1.3808
2021-07-13,1.3856
2021-07-14,1.3828
2021-07-15,1.3772
2021-07-16,1.3738666666666666
2021-07-17,1.3705333333333334
2021-07-18,1.3672
2021-07-19,1.3626
2021-07-20,1.371
2021-07-21,1.3763
2021-07-22,1.3745
2021-07-23,1.3768666666666667
2021-07-24,1.3792333333333333
2021-07-25,1.3816
2021-07-26,1.3874
2021-07-27,1.3898
2021-07-28,1.3961
